,,,,,,,
,,,,,,,
,,,,,,,
Faculty,Area of Study,Area of Study Code,Level,Offered,Unit Code,Unit Name,More Info
Arts and Social Sciences,International Comparative Literature,ICLS,UG,Semester 2,ICLS3631,What is Literature? Crosscultural Views,http://sydney.edu.au/courses/uos/ICLS3631
Arts and Social Sciences,Indigenous Studies,INDG,UG,Semester 1,INDG1001,Introduction to Indigenous Cultures,http://sydney.edu.au/courses/uos/INDG1001
Arts and Social Sciences,Indigenous Studies,INDG,UG,Semester 2,INDG1002,Introduction to Indigenous History,http://sydney.edu.au/courses/uos/INDG1002
Arts and Social Sciences,Indigenous Studies,INDG,UG,Semester 2,INDG2001,Indigenous Land and Culture,http://sydney.edu.au/courses/uos/INDG2001
Arts and Social Sciences,Indonesian Language,INMS,UG,Semester 1,INMS1101,Indonesian 1A,http://sydney.edu.au/courses/uos/INMS1101
Arts and Social Sciences,Indonesian Language,INMS,UG,Semester 2,INMS1102,Indonesian 1B,http://sydney.edu.au/courses/uos/INMS1102
Arts and Social Sciences,Indonesian Language,INMS,UG,Semester 1,INMS2601,Indonesian 2A,http://sydney.edu.au/courses/uos/INMS2601
Arts and Social Sciences,Indonesian Language,INMS,UG,Semester 2,INMS2602,Indonesian 2B,http://sydney.edu.au/courses/uos/INMS2602
Arts and Social Sciences,Indonesian Language,INMS,UG,Semester 1,INMS3601,Indonesian 3A,http://sydney.edu.au/courses/uos/INMS3601
Arts and Social Sciences,Indonesian Language,INMS,UG,Semester 2,INMS3602,Indonesian 3B,http://sydney.edu.au/courses/uos/INMS3602
Arts and Social Sciences,Indonesian Language,INMS,UG,Semester 1,INMS3607,Indonesia: The Challenges of Development,http://sydney.edu.au/courses/uos/INMS3607
Arts and Social Sciences,Indonesian Language,INMS,UG,Semester 2,INMS3608,Indeonesia in Search of Modernity,http://sydney.edu.au/courses/uos/INMS3608
Arts and Social Sciences,Italian Language,ITLN,UG,Semester 1,ITLN1611,Introductory Italian 1,http://sydney.edu.au/courses/uos/ITLN1611
Arts and Social Sciences,Italian Language,ITLN,UG,Semester 2,ITLN1612,Introductory Italian 2,http://sydney.edu.au/courses/uos/ITLN1612
Arts and Social Sciences,Italian Language,ITLN,UG,Semester 1,ITLN2611,Intermediate Italian 3,http://sydney.edu.au/courses/uos/ITLN2611
Arts and Social Sciences,Italian Language,ITLN,UG,Semester 2,ITLN2612,Intermediate Italian 4,http://sydney.edu.au/courses/uos/ITLN2612
Arts and Social Sciences,Italian Language,ITLN,UG,Semester 1,ITLN2631,Senior Italian 3,http://sydney.edu.au/courses/uos/ITLN2631
Arts and Social Sciences,Italian Language,ITLN,UG,Semester 2,ITLN2632,Senior Italian 4,http://sydney.edu.au/courses/uos/ITLN2632
Arts and Social Sciences,Italian Language,ITLN,UG,Semester 1,ITLN3611,Senior Italian 5,http://sydney.edu.au/courses/uos/ITLN3611
Arts and Social Sciences,Italian Language,ITLN,UG,Semester 2,ITLN3612,Senior Italian 6,http://sydney.edu.au/courses/uos/ITLN3612
Arts and Social Sciences,Italian Language,ITLN,UG,Semester 1,ITLN3631,Senior Italian 7,http://sydney.edu.au/courses/uos/ITLN3631
Arts and Social Sciences,Italian Studies,ITLN,UG,Semester 1,ITLN3668,Issues of Language and Society in Italy,http://sydney.edu.au/courses/uos/ITLN3668
Arts and Social Sciences,Italian Studies,ITLN,UG,Semester 2,ITLN3679,Filming Fiction: The Italian Experience,http://sydney.edu.au/courses/uos/ITLN3679
Arts and Social Sciences,Italian Language,ITLN,UG,Semester 1,ITLN3688,Advanced Italian: Translation,http://sydney.edu.au/courses/uos/ITLN3688
Arts and Social Sciences,Italian Studies,ITLN,UG,Semester 2,ITLN3691,Italian Literature: 1200-1860,http://sydney.edu.au/courses/uos/ITLN3691
Arts and Social Sciences,Italian Studies,ITLN,UG,Semester 1,ITLN3694,Dante and the Middle Ages,http://sydney.edu.au/courses/uos/ITLN3694
Arts and Social Sciences,Jewish Studies,JCTC,UG,Semester 1,JCTC1001,Palestine: Roman Rule to Islam,http://sydney.edu.au/courses/uos/JCTC1001
Arts and Social Sciences,Jewish Studies,JCTC,UG,Semester 2,JCTC1002,Jewish Settlement Outside Palestine,http://sydney.edu.au/courses/uos/JCTC1002
Arts and Social Sciences,Jewish Studies,JCTC,UG,Semester 1,JCTC2603,Jews Under the Crescent and the Cross,http://sydney.edu.au/courses/uos/JCTC2603
Arts and Social Sciences,Jewish Studies,JCTC,UG,Semester 2,JCTC2604,From Expulsion to Regeneration,http://sydney.edu.au/courses/uos/JCTC2604
Arts and Social Sciences,Jewish Studies,JCTC,UG,Semester 1,JCTC2605,From Emancipation to the Holocaust,http://sydney.edu.au/courses/uos/JCTC2605
Arts and Social Sciences,Jewish Studies,JCTC,UG,Semester 2,JCTC2606,The Holocaust: History and Aftermath,http://sydney.edu.au/courses/uos/JCTC2606
Arts and Social Sciences,Jewish Studies,JCTC,UG,Semester 1,JCTC2607,Israel in the Modern Middle East,http://sydney.edu.au/courses/uos/JCTC2607
Arts and Social Sciences,Jewish Studies,JCTC,UG,Semester 2,JCTC3602,Contemporary Jewish Identities,http://sydney.edu.au/courses/uos/JCTC3602
Arts and Social Sciences,Japanese Language,JPNS,UG,Semester 1,JPNS1611,Japanese 1,http://sydney.edu.au/courses/uos/JPNS1611
Arts and Social Sciences,Japanese Language,JPNS,UG,Semester 2,JPNS1612,Japanese 2,http://sydney.edu.au/courses/uos/JPNS1612
Arts and Social Sciences,Japanese Language,JPNS,UG,Semester 1,JPNS2611,Japanese 3,http://sydney.edu.au/courses/uos/JPNS2611
Arts and Social Sciences,Japanese Language,JPNS,UG,Semester 2,JPNS2612,Japanese 4,http://sydney.edu.au/courses/uos/JPNS2612
Arts and Social Sciences,Japanese Language,JPNS,UG,Semester 1,JPNS2621,Japanese 5,http://sydney.edu.au/courses/uos/JPNS2621
Arts and Social Sciences,Japanese Language,JPNS,UG,Semester 2,JPNS2622,Japanese 6,http://sydney.edu.au/courses/uos/JPNS2622
Arts and Social Sciences,Japanese Studies,JPNS,UG,Semester 1,JPNS2670,Love and Death in Japanese Literature,http://sydney.edu.au/courses/uos/JPNS2670
Arts and Social Sciences,Japanese Studies,JPNS,UG,Semester 2,JPNS2672,Japanese Media and Popular Culture,http://sydney.edu.au/courses/uos/JPNS2672
Arts and Social Sciences,Japanese Studies,JPNS,UG,Semester 2,JPNS3001,Understanding Japan,http://sydney.edu.au/courses/uos/JPNS3001
Arts and Social Sciences,Japanese Studies,JPNS,UG,Semester 1,JPNS3002,Historical Texts and Cultures of Japan,http://sydney.edu.au/courses/uos/JPNS3002
Arts and Social Sciences,Japanese Language,JPNS,UG,Semester 1,JPNS3621,Japanese 7,http://sydney.edu.au/courses/uos/JPNS3621
Arts and Social Sciences,Japanese Language,JPNS,UG,Semester 2,JPNS3622,Japanese 8,http://sydney.edu.au/courses/uos/JPNS3622
Arts and Social Sciences,Japanese Language,JPNS,UG,Semester 1,JPNS3631,Japanese 9,http://sydney.edu.au/courses/uos/JPNS3631
Arts and Social Sciences,Japanese Language,JPNS,UG,Semester 2,JPNS3632,Japanese 10,http://sydney.edu.au/courses/uos/JPNS3632
Arts and Social Sciences,Japanese Studies,JPNS,UG,Semester 2,JPNS3650,Japanese Language and Identity,http://sydney.edu.au/courses/uos/JPNS3650
Arts and Social Sciences,Japanese Studies,JPNS,UG,Semester 2,JPNS3673,Japanese Society,http://sydney.edu.au/courses/uos/JPNS3673
Arts and Social Sciences,Indigenous Studies,KOCR,UG,Semester 1,KOCR2603,Indigenous Health and Communities,http://sydney.edu.au/courses/uos/KOCR2603
Arts and Social Sciences,Indigenous Studies,KOCR,UG,Semester 1,KOCR2605,Speaking Gamilaraay 1,http://sydney.edu.au/courses/uos/KOCR2605
Arts and Social Sciences,Indigenous Studies,KOCR,UG,Semester 2,KOCR3602,Race~ Racism and Indigenous Australia,http://sydney.edu.au/courses/uos/KOCR3602
Arts and Social Sciences,Korean Language,KRNS,UG,Semester 1,KRNS1621,Korean 1,http://sydney.edu.au/courses/uos/KRNS1621
Arts and Social Sciences,Korean Language,KRNS,UG,Semester 2,KRNS1622,Korean 2,http://sydney.edu.au/courses/uos/KRNS1622
Arts and Social Sciences,Korean Language,KRNS,UG,Semester 1,KRNS2621,Korean 3,http://sydney.edu.au/courses/uos/KRNS2621
Arts and Social Sciences,Korean Language,KRNS,UG,Semester 2,KRNS2622,Korean 4,http://sydney.edu.au/courses/uos/KRNS2622
Arts and Social Sciences,Korean Studies,KRNS,UG,Semester 1,KRNS2671,Translation and Interpretation,http://sydney.edu.au/courses/uos/KRNS2671
Arts and Social Sciences,Korean Language,KRNS,UG,Semester 2,KRNS2674,Korean Grammar,http://sydney.edu.au/courses/uos/KRNS2674
Arts and Social Sciences,Korean Language,KRNS,UG,Semester 1,KRNS3621,Korean 5,http://sydney.edu.au/courses/uos/KRNS3621
Arts and Social Sciences,Korean Language,KRNS,UG,Semester 2,KRNS3622,Korean 6,http://sydney.edu.au/courses/uos/KRNS3622
Arts and Social Sciences,Korean Studies,KRNS,UG,Semester 2,KRNS3670,Korea in Literature and Popular Culture,http://sydney.edu.au/courses/uos/KRNS3670
Arts and Social Sciences,Korean Studies,KRNS,UG,Semester 1,KRNS3675,Contemporary Korean Society and Culture,http://sydney.edu.au/courses/uos/KRNS3675
Arts and Social Sciences,Latin Language,LATN,UG,Semester 1,LATN1600,Introduction to Latin 1,http://sydney.edu.au/courses/uos/LATN1600
Arts and Social Sciences,Latin Language,LATN,UG,Semester 2,LATN1601,Introduction to Latin 2,http://sydney.edu.au/courses/uos/LATN1601
Arts and Social Sciences,Latin Language,LATN,UG,Semester 1,LATN2600,Intermediate Latin 1,http://sydney.edu.au/courses/uos/LATN2600
Arts and Social Sciences,Latin Language,LATN,UG,Semester 2,LATN2601,Intermediate Latin 2,http://sydney.edu.au/courses/uos/LATN2601
Arts and Social Sciences,Latin Language,LATN,UG,Semester 1,LATN3600,Advanced Latin,http://sydney.edu.au/courses/uos/LATN3600
Arts and Social Sciences,Latin Studies,LATN,UG,Semester 2,LATN3602,Virgil's Aeneid,http://sydney.edu.au/courses/uos/LATN3602
Arts and Social Sciences,Latin Studies,LATN,UG,Semester 1,LATN3603,Latin Imperial Poetry,http://sydney.edu.au/courses/uos/LATN3603
Arts and Social Sciences,Latin Studies,LATN,UG,Semester 2,LATN3605,Latin Republican Prose,http://sydney.edu.au/courses/uos/LATN3605
Arts and Social Sciences,Linguistics,LNGS,UG,Semester 1,LNGS1001,Structure of Language,http://sydney.edu.au/courses/uos/LNGS1001
Arts and Social Sciences,Linguistics,LNGS,UG,Semester 2,LNGS1002,Language and Social Context,http://sydney.edu.au/courses/uos/LNGS1002
Arts and Social Sciences,Linguistics,LNGS,UG,Semester 2,LNGS2601,Phonetics and Phonology,http://sydney.edu.au/courses/uos/LNGS2601
Arts and Social Sciences,Linguistics,LNGS,UG,Semester 1,LNGS2611,Australian's Indigenous Languages,http://sydney.edu.au/courses/uos/LNGS2611
Arts and Social Sciences,Linguistics,LNGS,UG,Semester 1,LNGS2614,Language Acquisition,http://sydney.edu.au/courses/uos/LNGS2614
Arts and Social Sciences,Linguistics,LNGS,UG,Semester 2,LNGS2615,Language~ Brain and Mind,http://sydney.edu.au/courses/uos/LNGS2615
Arts and Social Sciences,Linguistics,LNGS,UG,Semester 1,LNGS2624,Grammar in the World's Languages,http://sydney.edu.au/courses/uos/LNGS2624
Arts and Social Sciences,Linguistics,LNGS,UG,Semester 2,LNGS3601,Semantics and Pragmatics,http://sydney.edu.au/courses/uos/LNGS3601
Arts and Social Sciences,Linguistics,LNGS,UG,Semester 1,LNGS3605,Describing a Language,http://sydney.edu.au/courses/uos/LNGS3605
Arts and Social Sciences,Linguistics,LNGS,UG,Semester 2,LNGS3608,Computers~ Discourse~ Language,http://sydney.edu.au/courses/uos/LNGS3608
Arts and Social Sciences,Linguistics,LNGS,UG,Semester 1,LNGS3609,Text and Context,http://sydney.edu.au/courses/uos/LNGS3609
Arts and Social Sciences,Linguistics,LNGS,UG,Semester 2,LNGS3610,Language Change and Variation,http://sydney.edu.au/courses/uos/LNGS3610
Arts and Social Sciences,Linguistics,LNGS,UG,Semester 1,LNGS3613,Advanced Morphology and Syntax,http://sydney.edu.au/courses/uos/LNGS3613
Arts and Social Sciences,Linguistics,LNGS,UG,Semester 2,LNGS3690,Issues in Theoretical Linguistics,http://sydney.edu.au/courses/uos/LNGS3690
Arts and Social Sciences,Media and Communication,MECO,UG,Semester 1,MECO1001,Australian Media Studies,http://sydney.edu.au/courses/uos/MECO1001
Arts and Social Sciences,Media and Communication,MECO,UG,Semester 2,MECO1002,Media and Communications Landscapes,http://sydney.edu.au/courses/uos/MECO1002
Arts and Social Sciences,Media and Communication,MECO,UG,Semester 2,MECO1003,Principles of Media Writing,http://sydney.edu.au/courses/uos/MECO1003
Arts and Social Sciences,Media and Communication,MECO,UG,Semester 2,MECO2603,Public Relations Management,http://sydney.edu.au/courses/uos/MECO2603
Arts and Social Sciences,Media and Communication,MECO,UG,Semester 1,MECO3603,Media~ Law and Ethics,http://sydney.edu.au/courses/uos/MECO3603
Arts and Social Sciences,Media and Communication,MECO,UG,Semester 2,MECO3605,Media Globalisation,http://sydney.edu.au/courses/uos/MECO3605
Arts and Social Sciences,Media and Communication,MECO,UG,Semester 1,MECO3606,Advanced Media Writing,http://sydney.edu.au/courses/uos/MECO3606
Arts and Social Sciences,Greek (Modern) Language,MGRK,UG,Semester 1,MGRK1601,Junior Modern Greek 1,http://sydney.edu.au/courses/uos/MGRK1601
Arts and Social Sciences,Greek (Modern) Language,MGRK,UG,Semester 2,MGRK1602,Junior Modern Greek 2,http://sydney.edu.au/courses/uos/MGRK1602
Arts and Social Sciences,Greek (Modern) Language,MGRK,UG,Semester 1,MGRK2601,Senior Modern Greek 1,http://sydney.edu.au/courses/uos/MGRK2601
Arts and Social Sciences,Greek (Modern) Language,MGRK,UG,Semester 2,MGRK2602,Senior Modern Greek 2,http://sydney.edu.au/courses/uos/MGRK2602
Arts and Social Sciences,Greek (Modern) Studies,MGRK,UG,Semester 1,MGRK2603,Style and Expression,http://sydney.edu.au/courses/uos/MGRK2603
Arts and Social Sciences,Greek (Modern) Studies,MGRK,UG,Semester 1,MGRK3605,Greek Modernity and its Others,http://sydney.edu.au/courses/uos/MGRK3605
Arts and Social Sciences,Greek (Modern) Studies,MGRK,UG,Semester 2,MGRK3607,The Art of Translating,http://sydney.edu.au/courses/uos/MGRK3607
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL1011,Reality~ Ethics and Beauty,http://sydney.edu.au/courses/uos/PHIL1011
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL1012,Introductory Logic,http://sydney.edu.au/courses/uos/PHIL1012
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL1013,Society~ Knowledge and Self,http://sydney.edu.au/courses/uos/PHIL1013
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL2605,Early Modern Theories of Perception,http://sydney.edu.au/courses/uos/PHIL2605
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL2607,Eighteenth Century French Philosophy,http://sydney.edu.au/courses/uos/PHIL2607
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL2611,Problems of Empiricism,http://sydney.edu.au/courses/uos/PHIL2611
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL2614,The Presocratics,http://sydney.edu.au/courses/uos/PHIL2614
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL2615,Intermediate Logic,http://sydney.edu.au/courses/uos/PHIL2615
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL2617,Practical Ethics,http://sydney.edu.au/courses/uos/PHIL2617
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL2620,Probability and Decision Theory,http://sydney.edu.au/courses/uos/PHIL2620
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL2622,Reality~ Time & Possibility: Metaphysics,http://sydney.edu.au/courses/uos/PHIL2622
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL2623,Moral Psychology,http://sydney.edu.au/courses/uos/PHIL2623
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL2632,Modernity in Crisis,http://sydney.edu.au/courses/uos/PHIL2632
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL2635,Contemporary Political Philosophy,http://sydney.edu.au/courses/uos/PHIL2635
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL2640,Environmental Philosophy,http://sydney.edu.au/courses/uos/PHIL2640
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL2642,Critical Thinking,http://sydney.edu.au/courses/uos/PHIL2642
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL2645,Philosophy of Law,http://sydney.edu.au/courses/uos/PHIL2645
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL2646,Philosophy and Literature,http://sydney.edu.au/courses/uos/PHIL2646
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL2647,Philosophy of Happiness,http://sydney.edu.au/courses/uos/PHIL2647
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL2655,Philosophical Ethics,http://sydney.edu.au/courses/uos/PHIL2655
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL2660,Analytic Origins: Frege to Wittgenstein,http://sydney.edu.au/courses/uos/PHIL2660
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL2661,Philosophy of Sex,http://sydney.edu.au/courses/uos/PHIL2661
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL2667,From Illusion to Reality,http://sydney.edu.au/courses/uos/PHIL2667
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL2670,Philosophy of Science,http://sydney.edu.au/courses/uos/PHIL2670
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL2671,Locke and Natural Philosophy,http://sydney.edu.au/courses/uos/PHIL2671
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL2672,Time and Space,http://sydney.edu.au/courses/uos/PHIL2672
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL2675,Existentialism,http://sydney.edu.au/courses/uos/PHIL2675
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL2676,Democracy and Voting,http://sydney.edu.au/courses/uos/PHIL2676
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL2677,How Biology Matters to Philosophy,http://sydney.edu.au/courses/uos/PHIL2677
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL3615,Contemporary Pragmatism,http://sydney.edu.au/courses/uos/PHIL3615
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 2,PHIL3617,Practical Ethics Advanced,http://sydney.edu.au/courses/uos/PHIL3617
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL3647,Philosophy of Happiness Advanced,http://sydney.edu.au/courses/uos/PHIL3647
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL3651,Emotions and Embodied Cognition,http://sydney.edu.au/courses/uos/PHIL3651
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL3662,Reality Time & Possibility M'physics (Advanced),http://sydney.edu.au/courses/uos/PHIL3662
Arts and Social Sciences,Philosophy,PHIL,UG,Semester 1,PHIL3673,Fundamentality,http://sydney.edu.au/courses/uos/PHIL3673
Arts and Social Sciences,Performance Studies,PRFM,UG,Semester 1,PRFM1601,Performance: Process and Collaboration,http://sydney.edu.au/courses/uos/PRFM1601
Arts and Social Sciences,Performance Studies,PRFM,UG,Semester 2,PRFM1602,Dangerous Performances,http://sydney.edu.au/courses/uos/PRFM1602
Arts and Social Sciences,Performance Studies,PRFM,UG,Semester 1,PRFM2601,Being There: Theories of Performance,http://sydney.edu.au/courses/uos/PRFM2601
Arts and Social Sciences,Performance Studies,PRFM,UG,Semester 2,PRFM2602,Performance: Production and Interpretation,http://sydney.edu.au/courses/uos/PRFM2602
Arts and Social Sciences,Performance Studies,PRFM,UG,Semester 1,PRFM2603,Between Impro and Text: Making Performance,http://sydney.edu.au/courses/uos/PRFM2603
Arts and Social Sciences,Performance Studies,PRFM,UG,Semester 1,PRFM2605,Rehearsing Shakespeare,http://sydney.edu.au/courses/uos/PRFM2605
Arts and Social Sciences,Performance Studies,PRFM,UG,Semester 2,PRFM3602,Performance Histories,http://sydney.edu.au/courses/uos/PRFM3602
Arts and Social Sciences,Performance Studies,PRFM,UG,Semester 2,PRFM3607,Production Strategies for Performance,http://sydney.edu.au/courses/uos/PRFM3607
Arts and Social Sciences,Performance Studies,PRFM,UG,Semester 1,PRFM3611,Dramaturgy,http://sydney.edu.au/courses/uos/PRFM3611
Arts and Social Sciences,Performance Studies,PRFM,UG,Semester 1,PRFM3961,Rehearsal Studies,http://sydney.edu.au/courses/uos/PRFM3961
Arts and Social Sciences,Performance Studies,PRFM,UG,Semester 2,PRFM3962,Inside Rehearsal,http://sydney.edu.au/courses/uos/PRFM3962
Arts and Social Sciences,Religious Studies,RLST,UG,Semester 1,RLST1002,A History of God~ Deities and Demons,http://sydney.edu.au/courses/uos/RLST1002
Arts and Social Sciences,Religious Studies,RLST,UG,Semester 2,RLST1005,Atheism~ Fundamentalism and New Religions,http://sydney.edu.au/courses/uos/RLST1005
Arts and Social Sciences,Religious Studies,RLST,UG,Semester 2,RLST2605,Christianity and the Medieval World,http://sydney.edu.au/courses/uos/RLST2605
Arts and Social Sciences,Religious Studies,RLST,UG,Semester 1,RLST2620,Religion and Violence~ Faith and Blood,http://sydney.edu.au/courses/uos/RLST2620
Arts and Social Sciences,Religious Studies,RLST,UG,Semester 2,RLST2624,The Birth of Christianity,http://sydney.edu.au/courses/uos/RLST2624
Arts and Social Sciences,Religious Studies,RLST,UG,Semester 2,RLST2633,Religion and Television,http://sydney.edu.au/courses/uos/RLST2633
Arts and Social Sciences,Religious Studies,RLST,UG,Semester 1,RLST2636,Ancient Egyptian Religion and Magic,http://sydney.edu.au/courses/uos/RLST2636
Arts and Social Sciences,Religious Studies,RLST,UG,Semester 2,RLST3601,Rethinking Religion,http://sydney.edu.au/courses/uos/RLST3601
Arts and Social Sciences,Religious Studies,RLST,UG,Semester 1,RLST3603,Contemporary Australian Religion,http://sydney.edu.au/courses/uos/RLST3603
Arts and Social Sciences,Sanskrit Language,SANS,UG,Semester 1,SANS1001,Sanskrit Introductory 1,http://sydney.edu.au/courses/uos/SANS1001
Arts and Social Sciences,Sanskrit Language,SANS,UG,Semester 2,SANS1002,Sanskrit Introductory 2,http://sydney.edu.au/courses/uos/SANS1002
Arts and Social Sciences,Sanskrit Language,SANS,UG,Semester 1,SANS2601,Sanskrit Intermediate 1,http://sydney.edu.au/courses/uos/SANS2601
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG1001,Introduction to Sociology 1,http://sydney.edu.au/courses/uos/SCLG1001
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG1002,Introduction to Sociology 2,http://sydney.edu.au/courses/uos/SCLG1002
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2000,Global Social Problems,http://sydney.edu.au/courses/uos/SCLG2000
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG2022,Society and Animals,http://sydney.edu.au/courses/uos/SCLG2022
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2601,Sociological Theory,http://sydney.edu.au/courses/uos/SCLG2601
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG2602,Social Inquiry: Qualitative Methods,http://sydney.edu.au/courses/uos/SCLG2602
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2603,Sociology of Health and Illness,http://sydney.edu.au/courses/uos/SCLG2603
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2604,Social Inequality in Australia,http://sydney.edu.au/courses/uos/SCLG2604
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2605,Social Justice Law and Society,http://sydney.edu.au/courses/uos/SCLG2605
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2606,Media in Contemporary Society,http://sydney.edu.au/courses/uos/SCLG2606
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2607,Social Movements and Protest Politics,http://sydney.edu.au/courses/uos/SCLG2607
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2608,The Sociology of Deviance and Difference,http://sydney.edu.au/courses/uos/SCLG2608
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2609,Contemporary Cultural Issues,http://sydney.edu.au/courses/uos/SCLG2609
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG2610,Science~ Technology and Social Change,http://sydney.edu.au/courses/uos/SCLG2610
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2611,Welfare States: A Comparative Analysis,http://sydney.edu.au/courses/uos/SCLG2611
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG2612,Self and Society,http://sydney.edu.au/courses/uos/SCLG2612
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG2613,Sociology of Childhood and Youth,http://sydney.edu.au/courses/uos/SCLG2613
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG2615,Law and Social Theory,http://sydney.edu.au/courses/uos/SCLG2615
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG2616,Understanding Globalisation,http://sydney.edu.au/courses/uos/SCLG2616
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG2617,City and Society,http://sydney.edu.au/courses/uos/SCLG2617
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2618,Violence~ Imaginaries and Symbolic Power,http://sydney.edu.au/courses/uos/SCLG2618
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG2619,Sociology of Sport,http://sydney.edu.au/courses/uos/SCLG2619
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG2623,Sociology of Terror,http://sydney.edu.au/courses/uos/SCLG2623
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2624,Human Rights and Social Protest,http://sydney.edu.au/courses/uos/SCLG2624
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG2625,Friendship~ Family~ and Personal Life,http://sydney.edu.au/courses/uos/SCLG2625
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2626,Sociology of Religion,http://sydney.edu.au/courses/uos/SCLG2626
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG2629,Celebrity Society,http://sydney.edu.au/courses/uos/SCLG2629
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2630,Economic Sociology,http://sydney.edu.au/courses/uos/SCLG2630
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG2631,Sociology of the Environment,http://sydney.edu.au/courses/uos/SCLG2631
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG2632,Quantitative Methods,http://sydney.edu.au/courses/uos/SCLG2632
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2634,Crime~ Punishment and Society,http://sydney.edu.au/courses/uos/SCLG2634
Arts and Social Sciences,Sociology,SCLG,UG,Semester 1,SCLG2635,Sociology of Race and Racism,http://sydney.edu.au/courses/uos/SCLG2635
Arts and Social Sciences,Sociology,SCLG,UG,Semester 2,SCLG2636,Sociology of the Body,http://sydney.edu.au/courses/uos/SCLG2636
